gene_id,S2-12h,S2-24h,S2-Oh,S3-12h,S3-24h,S3-Oh,W2-12h,W2-24h,W2-Oh,W3-12h,W3-24h,W3-Oh
gene:Zm00001d042910,1683,2236,2524,1847,1972,1646,1736,2100,1648,789,2228,1808
gene:Zm00001d042911,10,40,44,59,74,42,8,37,25,6,119,39
gene:Zm00001d042912,0,0,0,0,0,0,6,0,0,0,0,0
gene:Zm00001d013458,15,7,90,0,0,0,0,0,0,0,0,0
gene:Zm00001d042914,8,4,20,12,14,11,0,4,0,0,6,7
gene:Zm00001d042915,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d042916,626,614,955,955,615,608,477,621,685,339,882,615
gene:Zm00001d042917,229,400,705,451,617,518,170,103,177,78,435,284
gene:Zm00001d042918,56,65,47,190,130,24,66,12,94,17,283,120
gene:Zm00001d013452,925,668,1407,1083,766,1192,867,764,1060,754,1429,1560
gene:Zm00001d013451,365,576,960,768,721,612,373,451,441,364,693,589
gene:Zm00001d013450,4,0,0,5,0,0,0,0,0,0,0,0
gene:Zm00001d013457,9,17,27,0,0,0,0,0,0,0,0,0
gene:Zm00001d013456,7441,2443,5376,9780,2059,3291,9093,2448,3164,5291,2620,4364
gene:Zm00001d013455,3201,2009,10974,5730,5393,8363,2494,4048,2197,2931,1927,4614
gene:Zm00001d013454,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d040518,155,288,302,132,239,163,122,249,193,94,207,207
gene:Zm00001d040519,4710,5364,14104,2586,676,3440,7720,1739,1348,1161,1925,2487
gene:Zm00001d040513,560,195,1072,798,480,954,892,626,896,578,1091,1531
gene:Zm00001d040516,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d040517,146,265,201,440,412,496,36,38,98,39,70,191
gene:Zm00001d040515,4000,4503,10042,8178,5300,8609,6084,4318,7347,3439,7159,9737
gene:Zm00001d010818,0,8,8,114,0,34,8,4,96,0,200,87
gene:Zm00001d010819,433,693,1208,457,557,557,463,330,245,222,430,597
gene:Zm00001d009576,0,0,0,0,0,0,7,3,0,0,0,0
gene:Zm00001d010812,227,952,354,163,413,79,124,611,189,76,496,305
gene:Zm00001d010813,0,0,0,4,0,0,0,0,11,12,6,12
gene:Zm00001d010811,2759,2521,4626,3643,2306,3375,3310,3398,4113,1955,3449,4313
gene:Zm00001d010816,313,297,904,847,603,1238,528,409,785,421,1109,1115
gene:Zm00001d010817,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d010814,1716,2459,2237,1220,1592,1374,1830,914,1106,784,1205,1408
gene:Zm00001d010815,0,0,0,0,0,0,0,4,0,4,0,0
gene:Zm00001d043657,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d003266,61,160,203,766,137,442,212,64,490,183,526,411
gene:Zm00001d038292,1270,1300,1669,1033,1101,927,1162,1521,1144,624,1556,1403
gene:Zm00001d038293,23,8,61,34,10,17,11,30,19,22,12,13
gene:Zm00001d038290,1480,2268,2917,1867,2012,1714,1453,1877,1845,639,2185,1440
gene:Zm00001d038291,701,1133,1904,1331,918,1177,1035,1206,929,511,1142,1106
gene:Zm00001d003715,2432,1427,5190,2774,2803,3267,2573,2029,1383,2564,1610,2984
gene:Zm00001d003714,0,0,0,0,0,0,0,0,0,2,0,0
gene:Zm00001d038294,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d003716,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d003719,166,38,150,4,24,64,92,200,42,292,204,180
gene:Zm00001d003718,105,230,166,297,66,138,153,76,212,95,416,242
gene:Zm00001d038299,742,368,2507,1188,774,1392,2675,1516,2114,1367,2754,2798
gene:Zm00001d039749,78,35,125,203,145,134,77,16,55,22,76,82
gene:Zm00001d039748,0,4,5,0,0,0,2,0,0,0,0,0
gene:Zm00001d039747,905,1302,2234,1823,1063,1445,1275,888,1125,787,1731,1454
gene:Zm00001d039746,496,695,1582,951,953,987,704,585,817,297,1058,892
gene:Zm00001d039745,2804,2030,6173,3180,2545,3547,3834,2965,2121,3157,2502,4661
gene:Zm00001d039744,283,216,250,123,134,117,91,26,0,0,95,67
gene:Zm00001d039742,418,162,356,294,323,271,70,21,26,20,153,121
gene:Zm00001d039741,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d039740,785,966,1404,940,686,885,1034,771,853,480,977,988
gene:Zm00001d031589,500,305,789,1565,676,1065,1103,360,370,477,870,1023
gene:Zm00001d019799,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d019792,23,17,88,0,0,51,110,151,99,67,231,199
gene:Zm00001d019793,48,114,118,24,0,73,83,130,185,62,209,108
gene:Zm00001d015406,102,271,360,215,201,262,161,119,218,188,401,304
